TAIL_NUMBER,MANUFACTURER,MODEL
N72476,Beech,A200
N7249C,Lockheed,PV-2
N72494,Hunting Aircraft Ltd,PEMBROKE
N72497,Hunting Aircraft Ltd,PEMBROKE
N725A,Dehavilland,DHC-8-202
N725AA,Boeing,727-227
N725AE,Embraer,EMB-135LR
N725CA,Boeing,707-321
N725EV,Boeing,727-27C
N725FE,Fokker,F27 MK 500
N725FN,Mitsubishi,MU-2B-25
N725LB,Gulfstream Aerospace,G-IV
N725MC,Beech,200
N725RW,Boeing,727-2M7
N725S,Boeing,737-297
N725SV,Cessna,441
N725SW,Boeing,737-7H4
N725TA,Raytheon Aircraft Company,HAWKER 800XP
N725TW,Boeing,757-231
N725UW,Airbus Industrie,A-319-112
N725WH,Hawker Siddeley,DH.125-1A
N725YC,Lockheed,18-56
N7250C,Lockheed,PV-2
N7250L,Beech,300
N7250T,Beech,B200
N72500,Beech,B-80
N7251C,Lockheed,PV-2
N7251U,Boeing,727-222
N7252,Dehavilland,DHC-6 TWIN OTTER
N7252U,Boeing,727-222
N72522,Douglas,DC-6B
N7253C,Lockheed,PV-2
N7253U,Boeing,727-222
N72534,Douglas,DC-6B
N72538,Douglas,DC-6B
N7254,Dehavilland,DHC-6 TWIN OTTER
N7254R,Beech,1900
N7254U,Boeing,727-222
N7255,Dehavilland,DHC-6 TWIN OTTER
N7255U,Boeing,727-222
N7256K,Beech,B200
N7256U,Boeing,727-222
N7257C,Lockheed,PV-2
N7257U,Boeing,727-222
N7258U,Boeing,727-222
N72584,Mitsubishi,TYPE ZERO
N7259U,Boeing,727-222
N72593,Douglas,DC-6B
N726AA,Boeing,727-227
N726AE,Embraer,EMB-135LR
N726CB,Raytheon Aircraft Company,B200
N726DH,Boeing,727-228
N726EP,British Aerospace,BAE 125 SERIES 800A
N726EV,Boeing,727-30C
N726FE,Fokker,F27 MK 500
N726FN,Mitsubishi,MU-2B-25
N726SW,Boeing,737-7H4
N726TA,Raytheon Aircraft Company,HAWKER 800XP
N726TW,Boeing,757-231
N726US,Airbus Industrie,A-319-112
N726WR,Learjet Inc,25
N7260U,Boeing,727-222
N7261C,Lockheed,PV-2
N7261U,Boeing,727-222
N7262U,Boeing,727-222
N7263C,Gates Learjet Corp.,35A
N7263D,Gates Learjet Corp.,35A
N7263E,Gates Learjet Corp.,35A
N7263F,Gates Learjet Corp.,35A
N7263H,Gates Learjet Corp.,35A
N7263K,Gates Learjet Corp.,35A
N7263L,Gates Learjet Corp.,35A
N7263N,Gates Learjet Corp.,35A
N7263R,Gates Learjet Corp.,35A
N7263U,Boeing,727-222
N7263X,Gates Learjet Corp.,35A
N7264C,Lockheed,PV-2
N7264U,Boeing,727-222
N7264V,Bombardier Inc,CL-600-2B19
N7265C,Lockheed,PV-2
N7265U,Boeing,727-222
N7266C,Lockheed,PV-2
N7266U,Boeing,727-222
N7267,Dehavilland,DHC-6 TWIN OTTER
N7267U,Boeing,727-222
N7268,Beech,UC-45J
N7268C,Lockheed,PV-2
N7268U,Boeing,727-222
N7269U,Boeing,727-222
N727AA,Boeing,727-227
N727AE,Embraer,EMB-135LR
N727AK,Boeing,727-51
N727AT,Israel Aircraft Industries,1124
N727AV,Beech,C18S
N727BT,Learjet Inc,31A
N727BW,Beech,B200
N727CC,Gulfstream Am Corp Comm Div,695A
N727CF,Boeing,727-22
N727CS,Gates Learjet,25D
N727D,Beech,D18S
N727DA,Lockheed,L-1011-385-1
N727DH,Boeing,727-228
N727DP,Swearingen,SA-226AT
N727EC,Boeing,727-30
N727FE,Fokker,F27 MK 500
N727FV,Boeing,727-221
N727GG,Boeing,727-95
N727HC,Boeing,727-35
N727LA,Boeing,727-21
N727LM,Gates Learjet,25D
N727M,Boeing,727-221
N727MT,Beech,E-90
N727NK,Boeing,727-212
N727PC,Piper,PA-42
N727PX,Boeing,727-21
N727RE,Boeing,727-200
N727RL,Boeing,727-25
N727RS,Beech,B100
N727RW,Boeing,727-2M7
N727S,Canadair Ltd,CL-600-2B16
N727SA,Boeing,727-230
N727SH,Boeing,727-284
N727SR,Boeing,727-284
N727SW,Boeing,737-7H4
N727TA,Hawker Siddeley,HS.125 SERIES 700A
N727TP,Mitsubishi,MU-2B-60
N727TW,Boeing,757-231
N727UW,Airbus Industrie,A-319-112
N727WF,Boeing,727-23
N7270B,Boeing,727-232
N7270U,Boeing,727-2F9
N72707,Lockheed,PV-2
N7271P,Boeing,727-30
N7271U,Boeing,727-222
N7272C,Lockheed,PV-2
N7272U,Boeing,727-222
N7273C,Lockheed,PV-2
N7273U,Boeing,727-222
N7274U,Boeing,727-222
N7275U,Boeing,727-222
N7276U,Boeing,727-222
N7277U,Boeing,727-222
N7278U,Boeing,727-222
N72787,Israel Aircraft Industries,1124
N7279U,Boeing,727-222
N728A,Douglas,DC-8-72
N728AA,Boeing,727-227
N728AE,Embraer,EMB-135LR
N728AM,Raytheon Aircraft Company,B200
N728EV,Boeing,727-78
N728FE,Fokker,F27 MK 500
N728FN,Mitsubishi,MU-2B-25
N728FV,Boeing,727-221
N728G,Douglas,DC3C
N728LW,Dassault-Breguet,FALCON 50
N728PL,Douglas,DC-8-62
N728PX,Lockheed,1329-23E
N728RW,Boeing,727-2M7
N728SW,Boeing,737-7H4
N728T,Beech,E18S
N728TA,Raytheon Aircraft Company,HAWKER 800XP
N728US,Boeing,727-214
N728UW,Airbus Industrie,A-319-112
N7280U,Boeing,727-222
N7281U,Boeing,727-222
N7282U,Boeing,727-222
N72821,Mcdonnell Douglas,DC-9-82(MD-82)
N72822,Mcdonnell Douglas,DC-9-82(MD-82)
N72824,Mcdonnell Douglas,DC-9-82(MD-82)
N72825,Mcdonnell Douglas,DC-9-82(MD-82)
N72829,Mcdonnell Douglas,DC-9-82(MD-82)
N7283U,Boeing,727-222
N72830,Mcdonnell Douglas,DC-9-82(MD-82)
N7284U,Boeing,727-222
N7285U,Boeing,727-222
N7285Y,Beech,B300C
N7286U,Boeing,727-222
N7287U,Boeing,727-222
N7288U,Boeing,727-222
N7289U,Boeing,727-222
N729AA,Boeing,727-227
N729AE,Embraer,EMB-135LR
N729AT,Raytheon Aircraft Company,HAWKER 800XP
N729C,Fairchild,SA227-AC
N729CA,Bombardier Inc,CL-600-2B19
N729CC,Rockwell International,690B
N729DA,Lockheed,L-1011-385-1
N729EV,Boeing,727-27C
N729FE,Fokker,F27 MK 600
N729M,Beech,G18S
N729MS,Beech,B100
N729RW,Boeing,727-2M7
N729SW,Boeing,737-7H4
N729TA,Raytheon Aircraft Company,HAWKER 800XP
N729UP,Mcdonnell Douglas,DC-8-71
N729US,Airbus Industrie,A-319-112
N7290U,Boeing,727-222
N7291U,Boeing,727-222
N7291Z,Bombardier Inc,CL-600-2B19
N7292U,Boeing,727-222
N7293U,Boeing,727-222
N7294U,Boeing,727-222
N7295U,Boeing,727-222
N7297U,Boeing,727-222
N7298U,Boeing,727-222
N7299U,Boeing,727-222
N73,Beech,300
N73A,Beech,E18S
N73AC,Aero Commander,680T
N73AW,Grumman,G-1159
N73CD,Douglas,VC-47D
N73CL,Israel Aircraft Industries,1124A
N73DJ,Gates Learjet,25D
N73DW,Cessna,425
N73E,Beech,D18S
N73EF,Rockwell International,690C
N73GH,Dassault-Breguet,FALCON 50
N73GP,Gates Learjet Corp,55B
N73HM,Cessna,650
N73KH,Cessna,560
N73LC,Beech,B200
N73LP,Gates Learjet Corp.,35A
N73M,Gulfstream Aerospace,G-V
N73ME,Cessna,560
N73MW,Beech,200
N73RA,Embraer,EMB-110P1
N73RP,Gulfstream Aerospace,G-V
N73SW,Boeing,737-2H4
N73TW,Gates Lear Jet,25C
N73UP,Raytheon Aircraft Company,HAWKER 800XP
N73WF,British Aerospace,BAE 125 SERIES 800A
N73X,Beech,D18S
N730AA,Boeing,727-227
N730AS,Boeing,737-290C
N730BA,Gulfstream Aerospace,G-IV
N730CA,Israel Aircraft Industries,1124
N730CC,Short Bros,SHORTS SD3-60
N730DA,Lockheed,L-1011-385-1
N730EG,Lockheed,PV-1
N730FE,Fokker,F27 MK 600
N730JP,Boeing,707-131
N730KW,Embraer,EMB-135LR
N730RS,Grumman,G-73
N730SS,Rockwell International,690B
N730SW,Boeing,737-7H4
N730T,Boeing,720-027
N730TA,Raytheon Aircraft Company,HAWKER 800XP
N730UP,Douglas,DC-8-71F
N730US,Airbus Industrie,A-319-112
N7300,Lockheed,18-56
N7302,Douglas,DC3C-S1C3G
N7305V,Bombardier Inc,CL-600-2B19
N7306,Grumman,G-73
N7308B,Beech,A200
N731AA,Boeing,727-227
N731AC,Swearingen,SA226TC
N731BE,Embraer,EMB-135LR
N731BH,Cessna,441
N731CJ,Mitsubishi,MU-2B-60
N731CW,Gates Lear Jet,25B
N731DL,Hawker Siddeley,HS.125 SERIES 700A
N731E,Short Bros. & Harland,SC7 SERIES 3
N731EV,Boeing,727-27C
N731G,Dassault/Sud,FAN JET FALCON
N731JR,Hawker Siddeley,BH.125-400A
N731RA,Learjet Inc,31A
N731SA,Boeing,737-7H4
N731TA,Raytheon Aircraft Company,400A
N73104,Convair,340-31
N73109,Convair,340-31
N73126,Convair,340-31
N73137,Convair,640-340D
N73152,Boeing,767-224
N7316C,Lockheed,1649A-98
N73163,Convair,440
N7317C,Lockheed,1649A-98
N732DH,Embraer,EMB-135LR
N732EB,Beech,G18S
N732MA,Boeing,737-81Q
N732Q,Boeing,707-321B
N732SW,Boeing,737-7H4
N732T,Beech,E18S
N732US,Airbus Industrie,A-319-112
N7321C,Lockheed,1649A-98
N7324C,Lockheed,1649A-98
N73251,Boeing,737-824
N73256,Boeing,737-824
N73259,Boeing,737-824
N73270,Boeing,737-824
N7329C,Beech,C18S
N733A,Cessna,650
N733CF,Canadair Ltd,CL-600-2B16
N733DS,Lockheed,L-1011-385-1
N733E,Gates Learjet Corp,55
N733EY,Canadair Ltd,CL-600-2B16
N733H,Cessna,650
N733K,Cessna,650
N733KR,Embraer,EMB-135LR
N733M,Cessna,560
N733NM,Beech,B300
N733PA,Boeing,737-205
N733SA,Boeing,737-7H4
N733TA,Raytheon Corporate Jets Inc,HAWKER 800XP
N733UW,Airbus Industrie,A-319-112
N733VN,British Aerospace,BAE JETSTREAM 3101
N73380,Boeing,737-3Q8
N73385,Boeing,737-3Q8
N734EK,Embraer,EMB-135LR
N734H,Douglas,DC3
N734SA,Boeing,737-7H4
N734T,Boeing,720-027
N73406,Boeing,737-924
N73444,Mcdonnell Douglas,DC-9-82(MD-82)
N735CA,Bombardier Inc,CL-600-2B19
N735D,Lockheed,L-1011-385-1
N735SA,Boeing,737-7H4
N735T,Boeing,707-131
N735TA,Raytheon Aircraft Company,400A
N735TS,Embraer,EMB-135LR
N73544,Lockheed,C-121C
N73548,Beech,D18S
N7356,Grumman,G-73
N736BP,Boeing,737-205
N736DT,Embraer,EMB-135LR
N736P,Beech,300
N736SA,Boeing,737-7H4
N736T,Boeing,720-027
N736US,Airbus Industrie,A-319-112
N7366N,Curtiss Wright,C-46F
N73675,Douglas,DC-7C
N737A,Boeing,737-7AX
N737AP,Boeing,737-222
N737BG,Boeing,737-247
N737BZ,Boeing,737-73Q
N737CC,Boeing,737-74Q
N737D,Lockheed,L-1011-385-1-15
N737DX,Boeing,737-408
N737E,Aero Commander,690A
N737GG,Boeing,737-74Q
N737H,Douglas,DC3C
N737JW,Boeing,737-7H4
N737MW,Embraer,EMB-135LR
N737Q,Boeing,737-2L9
N737SP,Boeing,737-74V
N737SW,Beech,E18S
N737TW,Boeing,737-230C
N737US,Airbus Industrie,A-319-112
N737WH,Boeing,737-75T
N737X,Boeing,737-990
N73721,Boeing,737-8AW
N73729,Mcdonnell Douglas,DC-9-83(MD-83)
N73730,Boeing,767-366
N7374,Raytheon Aircraft Company,HAWKER 800XP
N7375A,Boeing,767-323
N7375F,Boeing,737-291
N73751,Boeing,727-227
N7376,Boeing,737-600
N7376C,Beech,C18S
N7377C,Beech,C18S
N73774,Douglas,DC-7C
N7378C,Beech,C-45F
N7379C,Beech,C-45F
N738A,Boeing,737-7AX
N738AL,Boeing,737-73A
N738CB,Boeing,737-7H4
N738NR,Embraer,EMB-135LR
N738US,Airbus Industrie,A-319-112
N7380C,Beech,C18S
N7381C,Beech,C18S
N7381F,Boeing,737-2H4
N7387C,Beech,C-45F
N7388K,Beech,2000
N739A,Boeing,737-7AX
N739AE,Embraer,EMB-135LR
N739AL,Boeing,737-73A
N739CA,Bombardier Inc,CL-600-2B19
N739GB,Boeing,737-7H4
N739TA,Raytheon Aircraft Company,400A
N739US,Airbus Industrie,A-319-112
N7390C,Beech,C18S
N7391C,Beech,C18S
N7398A,Douglas,DC-7C
N74,Beech,300
N74A,Gulfstream Aerospace,G1159B
N74AF,Douglas,C54D-DC
N74AL,Beech,B200
N74AW,Beech,B200
N74BY,Cessna,441
N74CA,Lockheed,1049H-82
N74EF,Rockwell International,690C
N74FS,Dassault-Breguet,MYSTERE FALCON 900
N74GA,Gulfstream Am Corp Comm Div,690D
N74GB,Aero Commander,690A
N74GM,Aero Commander,1121
N74GR,Canadair Ltd,CL-600 CHALLENGER
N74GS,Beech,B200
N74HH,Grumman,G-1159
N74HR,Cessna,425
N74JA,Canadair Ltd,CL-600 CHALLENGER
N74JT,Beech,H-18
N74KW,Douglas,DC3A
N74LA,Beech,G18S
N74ND,British Aerospace,BAE 125 SERIES 800A
N74NF,Short Bros. & Harland,SD3-30
N74NP,British Aerospace,BAE 125 SERIES 800A
N74PC,British Aerospace,BAE 125 SERIES 800A
N74PW,Boeing,737-2H4
N74RD,Gates Learjet,25D
N74RF,Beech,B200
N74RG,Raytheon Aircraft Company,B200
N74RQ,Grumman,G-1159
N74RR,Beech,B100
N74RT,Gulfstream Aerospace,G1159B
N74SF,Beech,E18S
N74SW,Boeing,737-2H4
N74TF,Beech,2000
N74TS,Dassault-Breguet,FALCON 50
N74VC,Rockwell International Corp,NA-265-65
N74VF,Cessna,650
N74VR,Beech,E-90
N74Y,Lockheed,18-56
N74Z,Douglas,DC3C 1830-94
N740AL,Boeing,737-76N
N740AS,Boeing,737-290C
N740BA,Gulfstream Aerospace,G-V
N740DA,Lockheed,L-1011-385-1-15
N740DH,Boeing,727-2Q9
N740E,Learjet Inc,45
N740FE,Fokker,F27 MK 600
N740GL,Beech,200
N740P,Beech,B200
N740PB,Mitsubishi,MU-2B-36
N740PC,Beech,300
N740R,Dassault-Breguet,FALCON 50
N740SS,Gulfstream American Corp.,G-1159A
N740SW,Boeing,737-7H4
N740TA,Raytheon Aircraft Company,400A
N740US,Boeing,727-200
N740UW,Airbus Industrie,A-319-112
N7400V,Beech,E-90
N74007,Boeing,777-224
N74046,Fairchild,C-82
N74047,Fairchild,C-82
N74048,Fairchild,C-82
N7408,Vickers,VISCOUNT 797
N7409,Vickers,VISCOUNT 797
N741AL,Boeing,737-76N
N741AM,Lockheed,1329-25 JETSTAR II
N741AS,Boeing,737-2Q8C
N741BA,Saab-Fairchild,340A
N741C,Israel Aircraft Industries,1124
N741DA,Lockheed,L-1011-385-1
N741DH,Boeing,727-2Q9
N741E,Learjet Inc,45
N741FE,Fokker,F27 MK 600
N741FN,Mitsubishi,MU-2B-36
N741SA,Boeing,737-7H4
N741SK,Lockheed,P3B
N741TA,Raytheon Aircraft Company,400A
N741US,Boeing,727-281
N741UW,Airbus Industrie,A-319-112
N7411,Vickers,VISCOUNT 797
N7414C,Lockheed,PV-2
N7415C,Lockheed,PV-2
N74173,Curtiss Wright,C-46A
N74175,Douglas,DC-7C
N7418F,Cessna,750
N74183,Douglas,C-54
N742AL,Boeing,737-76N
N742AS,Boeing,737-290C
N742BA,Saab-Fairchild,340A
N742DH,Boeing,727-225
N742E,Learjet Inc,45
N742EV,Boeing,727-22
N742FE,Fokker,F27 MK 600
N742FN,Mitsubishi,MU-2B-36
N742J,Douglas,DC3A
N742PB,Boeing,737-700
N742R,Dassault-Breguet,FALCON 50
N742RW,Boeing,727-2M7
N742SA,Boeing,747-230B
N742SW,Boeing,737-7H4
N742TA,Raytheon Aircraft Company,400A
N742US,Airbus Industrie,A-319-112
N742W,Aero Commander,680FL
N743AS,Boeing,737-210C
N743BA,Saab-Fairchild,340A
N743CC,Cessna,650
N743DH,Boeing,727-225
N743E,Learjet Inc,45
N743G,Grumman,G-159
N743JA,Beech,E-90
N743M,Beech,C-45H
N743PE,British Aerospace,BAE JETSTREAM 3101
N743RW,Short Bros,SD3-60
N743SA,Boeing,747-230B
N743SW,Boeing,737-7H4
N743TA,Raytheon Aircraft Company,400A
N743US,Boeing,727-281
N743UW,Airbus Industrie,A-319-112
N74303,Douglas,DC-7C
N74318,Boeing,727-231
N7434C,Lockheed,PV-2
N744AS,Boeing,737-210C
N744BA,Saab-Scania,SF340A
N744CH,Rockwell International,690B
N744JD,Aero Commander,690A
N744M,Lockheed,18-56
N744MA,Cessna,402B
N744N,Learjet Inc,31A
N744R,Cessna,560
N744SA,Boeing,747-230B
N744SW,Boeing,737-7H4
N744TA,Raytheon Aircraft Company,400A
N744UP,Mcdonnell Douglas,DC-8-71
N744US,Airbus Industrie,A-319-112
N744V,Douglas,DC3C
N744W,Raytheon Aircraft Company,B300
N744WW,Cessna,560
N744X,Dassault-Breguet,FALCON 50
N7441,Vickers,VISCOUNT 797
N7441U,Boeing,727-222
N7442U,Boeing,727-222
N7443U,Boeing,727-222
N7444U,Boeing,727-222
N7445U,Boeing,727-222
N7446U,Boeing,727-222
N7447U,Boeing,727-222
N7448U,Boeing,727-222
N7449,Vickers,VISCOUNT 797
N7449U,Boeing,727-222
N745AS,Boeing,737-298C
N745BA,Saab-Fairchild,340A
N745DH,Boeing,727-224
N745E,Learjet Inc,45
N745EV,Boeing,727
N745PD,Beech,D18S
N745SW,Boeing,737-7H4
N745TA,Beech,400A
N745UP,Raytheon Aircraft Company,HAWKER 800XP
N745US,Boeing,727-281
N745UW,Airbus Industrie,A-319-112
N7450U,Boeing,727-222
N7451U,Boeing,727-222
N7452,Vickers,VISCOUNT 797
N7452U,Boeing,727-222
N7453U,Boeing,727-222
N7454C,Lockheed,PV-2
N7454U,Boeing,727-222
N7455U,Boeing,727-222
N7456U,Boeing,727-222
N7457U,Boeing,727-222
N7458,Vickers,VISCOUNT 797
N7458C,Lockheed,PV-2
N7458U,Boeing,727-222
N74589,Douglas,DC3C-S1C3G
N7459U,Boeing,727-222
N746AS,Boeing,737-2X6C
N746DH,Boeing,727-224
N746G,Grumman,G-159
N746SW,Boeing,737-7H4
N746TA,Beech,400A
N746UP,Raytheon Aircraft Company,HAWKER 800XP
N746US,Boeing,727-281
N746UW,Airbus Industrie,A-319-112
N7460U,Boeing,727-222
N7461U,Boeing,727-222
N7462U,Boeing,727-222
N7463U,Boeing,727-222
N7464U,Boeing,727-222
N7465U,Boeing,727-222
N74659,Lockheed,18-56
N7466U,Boeing,727-222
N7467U,Boeing,727-222
N747,Canadair Ltd,CL-600-2B16
N747AN,Gates Learjet Corp,55
N747AS,Boeing,737-2X6C
N747BB,Dehavilland,DH104 DOVE 6A
N747BC,Boeing,747-4J6
N747BZ,Boeing,747-4J6
N747CP,Gates Learjet Corp.,35A
N747CX,Dassault/Sud,FAN JET FALCON SER F
N747DH,Boeing,727-224
N747GE,Boeing,747-121
N747GM,Gates Learjet Corp.,35A
N747HN,Beech,200
N747KS,Boeing,747-SP44
N747LB,Israel Aircraft Industries,1121
N747MB,Beech,200
N747NB,Grumman,G-1159
N747PA,Boeing,747-121
N747RL,Cessna,560
N747RR,Beech,400A
N747SA,Boeing,737-7H4
N747SY,Mitsubishi,MU-2B-60
N747TX,Cessna,650
N747UP,British Aerospace,BAE 125 SERIES 800A
N747US,Boeing,727-200
N747UW,Airbus Industrie,A-319-112
N747WS,Cessna,402C
N7470,Boeing,747-121
N7471,Vickers,VISCOUNT 797
N748DH,Boeing,727-225
N748JA,Fairchild,SA227-AC
N748MN,Grumman American Avn. Corp.,G-1159
N748SB,Raytheon Aircraft Company,B300
N748SW,Boeing,737-7H4
N748T,Beech,E18S
N748TA,Raytheon Aircraft Company,400A
N748UP,Douglas,DC-8-71F
N748US,Boeing,727-281
N748UW,Airbus Industrie,A-319-112
N7483C,Lockheed,PV-2
N74844,Douglas,DC3C
N74852,Convair,600-240D
N74854,Convair,600-240D
N74855,Convair,600-240D
N7486C,Lockheed,PV-2
N749AP,Boeing,737-3Y0
N749CP,Cessna,650
N749DH,Boeing,727-200
N749DX,Cessna,750
N749RH,Raytheon Aircraft Company,400A
N749SS,Raytheon Aircraft Company,400A
N749SW,Boeing,737-7H4
N749T,Beech,E18S
N749TA,Beech,400A
N749US,Airbus Industrie,A-319-112
N749VR,Lockheed,749-79
N7490A,British Aerospace A/C Group,HS.125-700A
N7496C,Beech,TC-45G
N75,Beech,300
N75AA,Lockheed,L-1011-385-1-15
N75AH,Beech,200
N75AP,Beech,B100
N75AW,Piper,PA-42
N75AX,Gates Learjet,25D
N75B,Cessna,560
N75BB,Beech,C-45H
N75BC,Israel Aircraft Industries,1124
N75BS,Rockwell International,NA-265-80
N75CC,Grumman American Avn. Corp.,G-1159
N75CK,Gates Learjet,25D
N75CN,Rockwell International,NA-265-80
N75CS,British Aerospace,BAE 125 SERIES 800A
N75F,Cessna,560
N75FA,Beech,G18S
N75FL,Piper,PA-42-720
N75G,Cessna,560
N75GB,Cessna,402B
N75GP,Gates Learjet Corp,55
N75GR,Beech,A100
N75HS,Cessna,750
N75JC,Beech,D18S
N75JP,Beech,E-90
N75LA,Beech,100
N75LS,Piper,PA-42-720
N75LV,Beech,B200
N75LW,Beech,E-90
N75ME,Beech,300
N75MS,Beech,F90
N75MT,Corporate Jets Limited,BAE 125-800A
N75NP,British Aerospace,BAE 125 SERIES 800A
N75PW,Boeing,737-2T5
N75Q,Beech,C-45G
N75RP,Gulfstream Aerospace,G-V
N75SA,Lockheed,18-56
N75SJ,Gates Lear Jet,25B
N75T,Douglas,DC3C
N75TE,Learjet Inc,45
N75TJ,Dassault/Sud,FAN JET FALCON
N75U,Aero Commander,690A
N75V,Dassault-Breguet,MYSTERE FALCON 900
N75VC,Rockwell International Corp,NA-265-65
N75W,Dassault-Breguet,MYSTERE FALCON 900
N75WA,Rockwell International,690B
N75WD,Beech,B300
N75WE,Dassault-Breguet,FALCON 50
N75WP,Beech,200
N75WS,Douglas,DC3C
N75X,Swearingen,SA227-TT
N75YD,Convair,240
N75YV,Beech,1900C
N75Z,Cessna,560
N75ZT,Beech,B200
N75ZV,Beech,1900D
N750AA,Fairchild,SA226-AT
N750AN,Boeing,777-223
N750AT,Boeing,757-212
N750BA,Gulfstream Aerospace,G-V
N750BP,Cessna,750
N750CA,Mitsubishi,MU-2B-40
N750CC,Rockwell International Corp,NA-265-65
N750CX,Cessna,750
N750D,Hawker Siddeley,HS125 SERIES 3B
N750DH,Boeing,727-2M7
N750DM,Cessna,750
N750EC,Cessna,750
N750FC,Beech,100
N750FL,Cessna,560
N750GM,Cessna,750
N750H,Dassault-Breguet,FALCON 50
N750HG,Beech,200
N750HS,Cessna,750
N750JB,Cessna,750
N750JJ,Cessna,750
N750KC,Beech,200
N750NA,Boeing,757-28A
N750NS,Cessna,750
N750NW,Douglas,DC-9-41
N750PT,Cessna,750
N750RL,Cessna,750
N750RV,British Aerospace,BAE 125 SERIES 800A
N750RW,Bushmaster,2000
N750SA,Boeing,737-7H4
N750SW,Gulfstream American Corp.,G-1159A
N750TA,Raytheon Aircraft Company,400A
N750UP,Douglas,DC-8-71F
N750US,Boeing,727-214
N750UW,Airbus Industrie,A-319-112
N750VP,Cessna,750
N750XX,Cessna,750
N7500A,Douglas,DC3
N75000,Douglas,DC-7C
N7501V,Bushmaster,2000
N75018,Beech,RC-45J
N75019,Beech,RC-45J
N75020,Beech,RC-45J
N7506,Mcdonnell Douglas,DC-9-82(MD-82)
N7508,Mcdonnell Douglas,DC-9-82(MD-82)
N7509,Mcdonnell Douglas,DC-9-82(MD-82)
N751A,Douglas,C-47
N751AN,Boeing,777-223
N751AT,Boeing,757-212
N751BH,Cessna,750
N751BP,Learjet Inc,31A
N751BR,Rockwell International,690B
N751CA,Gates Lear Jet,25B
N751CE,Douglas,C-118
N751CR,Aero Commander,1121
N751DH,Boeing,727-264
N751MA,Boeing,707-323C
N751NW,Mcdonnell Douglas,DC-9-41
N751PR,Boeing,747-4F6
N751RA,Mcdonnell Douglas,DC-9-87
N751SW,Boeing,737-7H4
N751TA,Raytheon Aircraft Company,400A
N751US,Boeing,727-214
N751UW,Airbus Industrie,A-319-112
N751Z,Douglas,DC-7BF
N7510,Beech,D18S
N7512A,Mcdonnell Douglas,DC-9-82(MD-82)
N7514A,Mcdonnell Douglas,DC-9-82(MD-82)
N75142,Douglas,DC3C
N7515D,Beech,70
N7517A,Mcdonnell Douglas,DC-9-82(MD-82)
N7518A,Mcdonnell Douglas,DC-9-82(MD-82)
N7519A,Mcdonnell Douglas,DC-9-82(MD-82)
N752AN,Boeing,777-223
N752AT,Boeing,757-212
N752DS,Bombardier Inc,BD-700-1A10
N752EA,Gates Lear Jet,25B
N752JH,Cessna,560
N752NA,Boeing,757-28A
N752NW,Douglas,DC-9-41
N752PR,Boeing,747-4F6
N752S,Dassault Aviation,FALCON 2000
N752SW,Boeing,737-7H4
N752TA,Raytheon Aircraft Company,HAWKER 800XP
N752UP,Douglas,DC-8-71F
N752US,Airbus Industrie,A-319-112
N7520A,Mcdonnell Douglas,DC-9-82(MD-82)
N7521A,Mcdonnell Douglas,DC-9-82(MD-82)
N7522A,Mcdonnell Douglas,DC-9-82(MD-82)
N7524,Douglas,DC-7CF
N7525A,Mcdonnell Douglas,DC-9-82(MD-82)
N7526A,Mcdonnell Douglas,DC-9-82(MD-82)
N7527A,Mcdonnell Douglas,DC-9-82(MD-82)
N7528A,Mcdonnell Douglas,DC-9-82(MD-82)
N7529U,Convair,640-340D
N753AF,Dehavilland,DHC-6-200
N753AN,Boeing,777-223
N753AS,Boeing,727-22C
N753BD,Cessna,750
N753D,Beech,B100
N753DA,Lockheed,L-1011-385-3
N753NW,Douglas,DC-9-41
N753PR,Boeing,747-4F6
N753RA,Mcdonnell Douglas,DC-9-87
N753S,Dassault Aviation,FALCON 2000
N753SW,Boeing,737-7H4
N753TA,Raytheon Aircraft Company,400A
N753US,Airbus Industrie,A-319-112
N7530,Mcdonnell Douglas,DC-9-82(MD-82)
N7531A,Mcdonnell Douglas,DC-9-82(MD-82)
N7532A,Mcdonnell Douglas,DC-9-82(MD-82)
N7533A,Mcdonnell Douglas,DC-9-82(MD-82)
N75334,Lockheed,18-07
N75335,Curtiss Wright,C-46A
N75338,Curtiss Wright,C-46A
N7534A,Mcdonnell Douglas,DC-9-82(MD-82)
N7535A,Mcdonnell Douglas,DC-9-82(MD-82)
N7536A,Mcdonnell Douglas,DC-9-82(MD-82)
N7537A,Mcdonnell Douglas,DC-9-82(MD-82)
N7538A,Mcdonnell Douglas,DC-9-82(MD-82)
N75388,Curtiss Wright,C-46A
N7539A,Mcdonnell Douglas,DC-9-82(MD-82)
N754AN,Boeing,777-223
N754AS,Boeing,737-4Q8
N754BD,Short Bros. & Harland,SC7 SERIES 3
N754DB,Learjet Inc,25
N754DL,Lockheed,L-1011-385-3
N754GL,Gates Learjet Corp.,35A
N754JB,Grumman,G-1159
N754NA,Boeing,757-28A
N754NW,Mcdonnell Douglas,DC-9-41
N754PR,Boeing,747-469
N754RA,Mcdonnell Douglas,DC-9-87
N754SE,Cessna,750
N754SW,Boeing,737-7H4
N754TA,Raytheon Aircraft Company,HAWKER 800XP
N754UW,Airbus Industrie,A-319-112
N7540A,Mcdonnell Douglas,DC-9-82(MD-82)
N7541A,Mcdonnell Douglas,DC-9-82(MD-82)
N75410,Boeing,737-924
N75418,Beech,C18S
